agency_id,agency_name,address,city,state,county_name,rdi,latitude,longitude,dpv_match_code,dpv_footnotes,county_fips,record_type,congressional_district,time_zone,primary_number,street_name,street_predirection,street_postdirection,street_suffix,zipcode,postcard_design,handwritten_address,returned,means_user,signed_up_date
4203,Idaho County Foodbank,113 W North St,Grangeville,ID,Idaho,Commercial,45.92664,-116.11999,Y,AABB,16049,S,1,Pacific,113,North,W,,St,83530,A,TRUE,TRUE,FALSE,
4255,Apostolic Assembly-Nampa,119 1st Ave N,Nampa,ID,Canyon,Commercial,43.59082,-116.57121,Y,AABB,16027,S,1,Mountain,119,1st,,N,Ave,83687,A,TRUE,TRUE,FALSE,
6246,Brewer Christian Food Cupboard,71 Center St,Brewer,ME,Penobscot,Commercial,44.79685,-68.76243,Y,AABB,23019,S,2,Eastern,71,Center,,,St,4412,B,TRUE,TRUE,FALSE,
6279,Area Interfaith Outreach,70 Thomaston St,Rockland,ME,Knox,Commercial,44.09231,-69.11947,Y,AABB,23013,S,1,Eastern,70,Thomaston,,,St,4841,B,TRUE,TRUE,FALSE,
6323,Living Word Community Food Cupboard,1207 W Main St,Dover Foxcroft,ME,Piscataquis,Commercial,45.18029,-69.27393,Y,AABB,23021,S,2,Eastern,1207,Main,W,,St,4426,A,TRUE,TRUE,FALSE,
6397,Wells Pentecostal Church Food Pantry,131 Crediford Rd,Wells,ME,York,Residential,43.32841,-70.62636,Y,AABB,23031,S,1,Eastern,131,Crediford,,,Rd,4090,A,TRUE,TRUE,FALSE,
9134,Fall Mountain Emergency Food Shelf,122 Main St,Charlestown,NH,Sullivan,Residential,43.23789,-72.42501,Y,AABB,33019,S,2,Eastern,122,Main,,,St,3603,A,TRUE,TRUE,FALSE,
11567,Community Resources - Weatherization,113 Ann St,Parkersburg,WV,Wood,Residential,39.26544,-81.56663,Y,AABB,54107,S,1,Eastern,113,Ann,,,St,26101,A,TRUE,TRUE,FALSE,
11828,St. Christopher Episcopal Church,800 S Midwest Blvd,Midwest City,OK,Oklahoma,Commercial,35.45762,-97.3884,Y,AABB,40109,S,4,Central,800,Midwest,S,,Blvd,73110,A,TRUE,TRUE,FALSE,
11844,Church at the North Gate,6705 N I 35 Frontage Rd,Edmond,OK,Oklahoma,Commercial,35.72418,-97.41751,Y,AABB,40109,S,5,Central,6705,I 35 Frontage,N,,Rd,73034,B,TRUE,TRUE,FALSE,
11909,Salvation Army,114 S 1st St,Madill,OK,Marshall,Commercial,34.08945,-96.77154,Y,AABB,40095,S,2,Central,114,1st,S,,St,73446,A,TRUE,TRUE,FALSE,
11938,Muskogee County CAP,1313 N Main St,Muskogee,OK,Muskogee,Commercial,35.76115,-95.36136,Y,AABB,40101,S,2,Central,1313,Main,N,,St,74401,B,TRUE,TRUE,FALSE,
11998,Community Care Inc of Sapulpa,12 W Burnham Ave,Sapulpa,OK,Creek,Residential,35.9801,-96.1164,Y,AABB,40037,S,3,Central,12,Burnham,W,,Ave,74066,A,TRUE,TRUE,FALSE,
12002,Inter-Faith Soc Ministry,813 N Main St,Seminole,OK,Seminole,Commercial,35.23109,-96.66862,Y,AABB,40133,S,5,Central,813,Main,N,,St,74868,B,TRUE,TRUE,FALSE,
12988,Your Daily Bread Food Bank,131 Dean Dr,Clarksville,TN,Montgomery,Commercial,36.51315,-87.36565,Y,AABB,47125,S,7,Central,131,Dean,,,Dr,37040,A,TRUE,TRUE,FALSE,
14648,Canaan United Methodist Church,731 Bigley Ave,Charleston,WV,Kanawha,Commercial,38.36058,-81.64061,Y,AABB,54039,S,2,Eastern,731,Bigley,,,Ave,25302,B,TRUE,TRUE,FALSE,
4160,World Harvest Church of God of Prophecy,803 Main St,Caldwell,ID,Canyon,Commercial,43.66574,-116.68619,Y,AABB,16027,S,1,Mountain,803,Main,,,St,83605,B,TRUE,TRUE,FALSE,
5390,Grant County Neighborhood Center,134 N Main St,Williamstown,KY,Grant,Commercial,38.63753,-84.56044,Y,AABB,21081,S,4,Eastern,134,Main,N,,St,41097,A,TRUE,TRUE,FALSE,
12001,South Tulsa Community House,1208 E 58th St,Tulsa,OK,Tulsa,Commercial,36.07875,-95.97682,Y,AABB,40143,S,1,Central,1208,58th,E,,St,74105,A,TRUE,TRUE,FALSE,
13025,Project Return,1200 Division St Ste 200,Nashville,TN,Davidson,Commercial,36.15116,-86.78433,Y,AABB,47037,H,5,Central,1200,Division,,,St,37203,B,TRUE,TRUE,FALSE,
13054,FISH Hospitality - South Knoxville,115 Ogle Ave,Knoxville,TN,Knox,Commercial,35.93274,-83.91497,Y,AABB,47093,S,2,Eastern,115,Ogle,,,Ave,37920,B,TRUE,TRUE,FALSE,
195,Hands Of Mercy Outreach,101 Easy St,Fayetteville,TN,Lincoln,Commercial,35.1497,-86.56699,Y,AABB,47103,S,4,Central,101,Easy,,,St,37334,A,FALSE,TRUE,FALSE,
4141,St Mary's Church and Food Bank,2945 W Chinden Blvd,Boise,ID,Ada,Commercial,43.61978,-116.2354,Y,AABB,16001,S,2,Mountain,2945,Chinden,W,,Blvd,83714,A,FALSE,TRUE,FALSE,
4165,Oasis Worship Center,506 W Simplot Blvd,Caldwell,ID,Canyon,Commercial,43.6696,-116.70362,Y,AABB,16027,S,1,Mountain,506,Simplot,W,,Blvd,83605,A,FALSE,TRUE,FALSE,
4196,Helping Hearts and Hands,426 Main St,Gooding,ID,Gooding,Commercial,42.94107,-114.71276,Y,AABB,16047,S,2,Mountain,426,Main,,,St,83330,A,FALSE,TRUE,FALSE,
4201,Community Action Food Bank,308 N Hall St,Grangeville,ID,Idaho,Residential,45.92724,-116.11936,Y,AABB,16049,S,1,Pacific,308,Hall,N,,St,83530,A,FALSE,TRUE,FALSE,
4205,Greenleaf Friends Church,20535 Academy Rd,Greenleaf,ID,Canyon,Residential,43.67035,-116.82024,Y,AABB,16027,S,1,Mountain,20535,Academy,,,Rd,83626,A,FALSE,TRUE,FALSE,
4262,My Brothers Table,355 W Lander St,Pocatello,ID,Bannock,Commercial,42.86318,-112.45288,Y,AABB,16005,S,2,Mountain,355,Lander,W,,St,83204,A,FALSE,TRUE,FALSE,
5248,Carroll County Neighborhood Center,220 7th St,Carrollton,KY,Carroll,Commercial,38.68023,-85.17633,Y,AABB,21041,S,4,Eastern,220,7th,,,St,41008,A,FALSE,TRUE,FALSE,
6228,Stone Soup Food Pantry,316 Main St,Biddeford,ME,York,Residential,43.49476,-70.45957,D,AAN1,23031,H,1,Eastern,316,Main,,,St,4005,A,FALSE,TRUE,FALSE,
6238,Skowhegan Community Food Pantry - Food Cupboard,16 Cariani St,Skowhegan,ME,Somerset,Commercial,44.76065,-69.71122,Y,AABB,23025,S,2,Eastern,16,Cariani,,,St,4976,A,FALSE,TRUE,FALSE,
6276,Whiting Community Food Pantry,340 US Rte 1,Whiting,ME,Washington,Residential,44.78313,-67.19099,Y,AABB,23029,S,2,Eastern,340,US Rte 1,,,,4691,A,FALSE,TRUE,FALSE,
6277,Loaves and Fishes Food Pantry,91 Camden St,Rockland,ME,Knox,Commercial,44.11662,-69.10283,D,AAN1,23013,S,1,Eastern,91,Camden,,,St,4841,B,FALSE,TRUE,FALSE,
6391,Washington Food Pantry,524 Waldoboro Rd,Washington,ME,Knox,Residential,44.24265,-69.38146,Y,AABB,23013,S,1,Eastern,524,Waldoboro,,,Rd,4574,A,FALSE,TRUE,FALSE,
6415,Northeast Dreamcenter,18 Lithgow St,Winslow,ME,Kennebec,Commercial,44.53716,-69.63231,Y,AABB,23011,S,1,Eastern,18,Lithgow,,,St,4901,A,FALSE,TRUE,FALSE,
9133,St Peter's Food Pantry,38 Church St,North Walpole,NH,Cheshire,Commercial,43.14185,-72.44923,Y,AABB,33005,S,2,Eastern,38,Church,,,St,3609,A,FALSE,TRUE,FALSE,
9212,Daily Bread Food Pantry,31 Depot St,Goffstown,NH,Hillsborough,Commercial,43.01831,-71.60055,Y,AABB,33011,S,1,Eastern,31,Depot,,,St,3045,A,FALSE,TRUE,FALSE,
9349,St Matthew Roman Catholic Church,9 Jefferson Rd,Whitefield,NH,Coos,Commercial,44.37321,-71.60996,Y,AABB,33007,S,2,Eastern,9,Jefferson,,,Rd,3598,B,FALSE,TRUE,FALSE,
11694,Spero Project/ Spero: Resource,4646 N Santa Fe Ave,Oklahoma City,OK,Oklahoma,Commercial,35.51843,-97.5119,Y,AABB,40109,S,5,Central,4646,Santa Fe,N,,Ave,73118,A,FALSE,TRUE,FALSE,
11709,Downtown Baptist Church,629 W Main St,Oklahoma City,OK,Oklahoma,Commercial,35.46796,-97.52362,Y,AABB,40109,S,5,Central,629,Main,W,,St,73102,B,FALSE,TRUE,FALSE,
11715,Via De Gracia,2211 S Kentucky Pl,Oklahoma City,OK,Oklahoma,Commercial,35.44298,-97.54278,Y,AABB,40109,S,5,Central,2211,Kentucky,S,,Pl,73108,A,FALSE,TRUE,FALSE,
11744,Big Five Community Action,15 1st Ave SE,Ardmore,OK,Carter,Commercial,34.17111,-97.12813,Y,AABB,40019,S,4,Central,15,1st,,SE,Ave,73401,A,FALSE,TRUE,FALSE,
11780,Broken Arrow Neighbors,322 W Broadway Ave,Broken Arrow,OK,Tulsa,Commercial,36.05278,-95.794,Y,AABB,40143,S,1,Central,322,Broadway,W,,Ave,74012,A,FALSE,TRUE,FALSE,
11804,Salvation Army - Rogers County,524 W Will Rogers Blvd,Claremore,OK,Rogers,Residential,36.31228,-95.61514,D,AAN1,40131,H,2,Central,524,Will Rogers,W,,Blvd,74017,A,FALSE,TRUE,FALSE,
11846,Lords Harvest,216 S Rock Island Ave,El Reno,OK,Canadian,Commercial,35.53196,-97.95277,Y,AABB,40017,S,3,Central,216,Rock Island,S,,Ave,73036,A,FALSE,TRUE,FALSE,
11868,Child and Adult Food Care Program,601 N Academy St,Guymon,OK,Texas,Commercial,36.68473,-101.48537,Y,AABB,40139,S,3,Central,601,Academy,N,,St,73942,B,FALSE,TRUE,FALSE,
11885,Jenks Community Food Bank,324 W Aquarium Pl,Jenks,OK,Tulsa,Commercial,35.99854,-96.02017,Y,AABB,40143,S,1,Central,324,Aquarium,W,,Pl,74037,A,FALSE,TRUE,FALSE,
11887,Salvation Army,102 S Main St,Kingfisher,OK,Kingfisher,Commercial,35.8605,-97.9328,Y,AABB,40073,S,3,Central,102,Main,S,,St,73750,A,FALSE,TRUE,FALSE,
11891,Manna Foods Ministry Foundation,980 E Briar Ln,Lane,OK,Atoka,Residential,34.27294,-95.99103,Y,AABB,40005,S,2,Central,980,Briar,E,,Ln,74555,A,FALSE,TRUE,FALSE,
11893,House of Bread Ministries Food Pantry,1415 SW Wisconsin Ave,Lawton,OK,Comanche,Commercial,34.58387,-98.40951,Y,AABB,40031,S,4,Central,1415,Wisconsin,SW,,Ave,73501,A,FALSE,TRUE,FALSE,
11944,Norman Seven Day Adventist Church,1818 Alameda St,Norman,OK,Cleveland,Commercial,35.21826,-97.41475,Y,AABB,40027,S,4,Central,1818,Alameda,,,St,73071,A,FALSE,TRUE,FALSE,
11965,Faith Center Church,2600 W Broadway Ave,Sulphur,OK,Murray,Commercial,34.50641,-96.99171,D,AAN1,40099,H,4,Central,2600,Broadway,W,,Ave,73086,A,FALSE,TRUE,FALSE,
12638,Family Service of Rhode Island Pantry,610 Ten Rod Rd,North Kingstown,RI,Washington,Commercial,41.57257,-71.48435,D,AAN1,44009,H,2,Eastern,610,Ten Rod,,,Rd,2852,B,FALSE,TRUE,FALSE,
12639,Pro-CAP Interim House,49 Trenton St,Providence,RI,Providence,Residential,41.82091,-71.39111,Y,AABB,44007,S,1,Eastern,49,Trenton,,,St,2906,A,FALSE,TRUE,FALSE,
12708,Gateway Healthcare Capital City Community Center Food Pantry,110 Ruggles St,Providence,RI,Providence,Commercial,41.83796,-71.42842,Y,AABB,44007,S,1,Eastern,110,Ruggles,,,St,2908,A,FALSE,TRUE,FALSE,
13033,Christmas Wish Foundation,916 Bowmantown Rd,Limestone,TN,Washington,Residential,36.27651,-82.61492,Y,AABB,47179,S,1,Eastern,916,Bowmantown,,,Rd,37681,B,FALSE,TRUE,FALSE,
13805,White Sulphur Springs Community Food Pantry,110 Tressel St,White Sulphur Springs,WV,Greenbrier,Residential,37.79915,-80.29439,Y,AABB,54025,S,3,Eastern,110,Tressel,,,St,24986,A,FALSE,TRUE,FALSE,
14353,Capital Resource Agency - Montgomery,514 5th Ave,Montgomery,WV,Fayette,Commercial,38.18216,-81.32667,Y,AABB,54019,S,3,Eastern,514,5th,,,Ave,25136,A,FALSE,TRUE,FALSE,
14585,Senior Care Of North Central WV -Harrison,1412 Buckhannon Pike,Nutter Fort,WV,Harrison,Commercial,39.25874,-80.32316,Y,AABB,54033,S,1,Eastern,1412,Buckhannon,,,Pike,26301,A,FALSE,TRUE,FALSE,
14586,Capital Resource Agency - Putnam County,3990 Teays Valley Rd,Hurricane,WV,Putnam,Commercial,38.44554,-81.97726,Y,AABB,54079,S,2,Eastern,3990,Teays Valley,,,Rd,25526,A,FALSE,TRUE,FALSE,
14601,Food Pantry - Catholic Community Services - Morgantown,235 High St Ste 207,Morgantown,WV,Monongalia,Commercial,39.62963,-79.95614,Y,AABB,54061,H,1,Eastern,235,High,,,St,26505,A,FALSE,TRUE,FALSE,
14604,Community Action-Preston,109 E Main St,Kingwood,WV,Preston,Commercial,39.47208,-79.68532,Y,AABB,54077,S,1,Eastern,109,Main,E,,St,26537,A,FALSE,TRUE,FALSE,
14639,Fairmont Marion County Food Pantry,107 Jefferson St,Fairmont,WV,Marion,Commercial,39.48332,-80.14181,Y,AABB,54049,S,1,Eastern,107,Jefferson,,,St,26554,A,FALSE,TRUE,FALSE,
14645,Capital Resource Agency,413 D St,South Charleston,WV,Kanawha,Commercial,38.36624,-81.69487,Y,AABB,54039,S,2,Eastern,413,D,,,St,25303,A,FALSE,TRUE,FALSE,
14650,Salvation Army - Charleston,301 Tennessee Ave,Charleston,WV,Kanawha,Commercial,38.35909,-81.64522,Y,AABB,54039,S,2,Eastern,301,Tennessee,,,Ave,25302,A,FALSE,TRUE,FALSE,
4204,Evergreen Food Bank,407 E Main St,Grangeville,ID,Idaho,Commercial,45.92446,-116.11382,Y,AABB,16049,S,1,Pacific,407,Main,E,,St,83530,A,FALSE,TRUE,FALSE,
4242,FRC Food Bank,357 E Watertower St,Meridian,ID,Ada,Commercial,43.6018,-116.38136,D,AAN1,16001,H,1,Mountain,357,Watertower,E,,St,83642,A,FALSE,TRUE,FALSE,
5403,Amen House,319 E Main St,Georgetown,KY,Scott,Commercial,38.20975,-84.55492,Y,AABB,21209,S,6,Eastern,319,Main,E,,St,40324,A,FALSE,TRUE,FALSE,
5416,Helping Hands Christian Resources,314 Broadway St,Jackson,KY,Breathitt,Commercial,37.55189,-83.3836,D,AAN1,21025,H,5,Eastern,314,Broadway,,,St,41339,A,FALSE,TRUE,FALSE,
6165,Sanford Food Pantry,29 River St,Sanford,ME,York,Residential,43.44399,-70.77446,D,AAN1,23031,H,1,Eastern,29,River,,,St,4073,A,FALSE,TRUE,FALSE,
6436,Salvation Army - Westbrook Food Pantry,11 Bridge St,Westbrook,ME,Cumberland,Commercial,43.67708,-70.36681,Y,AABB,23005,S,1,Eastern,11,Bridge,,,St,4092,A,FALSE,TRUE,FALSE,
9266,Peterborough Food Pantry,25 Elm St,Peterborough,NH,Hillsborough,Commercial,42.87474,-71.9586,Y,AABB,33011,S,2,Eastern,25,Elm,,,St,3458,A,FALSE,TRUE,FALSE,
9301,Hooksett Food Pantry,146 Londonderry Tpke,Hooksett,NH,Merrimack,Commercial,43.02837,-71.41025,D,AAN1,33013,H,1,Eastern,146,Londonderry,,,Tpke,3106,A,FALSE,TRUE,FALSE,
14326,Martinsburg WORK 4 WV Center,891 Auto Parts Pl,Martinsburg,WV,Berkeley,Commercial,39.51312,-77.96907,D,AAN1,54003,H,2,Eastern,891,Auto Parts,,,Pl,25403,B,FALSE,TRUE,FALSE,
14612,Community Resources,601 Avery St Ste 200,Parkersburg,WV,Wood,Commercial,39.26545,-81.55854,S,AACC,54107,H,1,Eastern,601,Avery,,,St,26101,B,FALSE,TRUE,FALSE,
14613,Community Resources Central Office and County Number,601 Avery St Ste 200,Parkersburg,WV,Wood,Commercial,39.26545,-81.55854,S,AACC,54107,H,1,Eastern,601,Avery,,,St,26101,B,FALSE,TRUE,FALSE,
9174,Bristol Community Service Food Pantry,21 N Main St,Bristol,NH,Grafton,Commercial,43.59014,-71.73549,Y,AABB,33009,S,2,Eastern,21,Main,N,,St,3222,A,FALSE,TRUE,FALSE,
9374,Seventh Day Adventist Community,37 Back River Rd,Bedford,NH,Hillsborough,Commercial,42.93842,-71.48086,Y,AABB,33011,S,1,Eastern,37,Back River,,,Rd,3110,A,FALSE,TRUE,FALSE,
11738,Salvation Army,227 N 4th St,Chickasha,OK,Grady,Commercial,35.05256,-97.93697,Y,AABB,40051,S,4,Central,227,4th,N,,St,73018,A,FALSE,TRUE,FALSE,
5235,Pleasant Valley Community Church,800 Pleasant Valley Rd,Owensboro,KY,Daviess,Commercial,37.78065,-87.07325,Y,AABB,21059,S,2,Central,800,Pleasant Valley,,,Rd,42303,B,TRUE,FALSE,TRUE,2016-02-16 14:28:25 -0500
6282,Trinity Evangelical Free Church,12 McLellan St,Skowhegan,ME,Somerset,Commercial,44.75765,-69.72323,Y,AABB,23025,S,2,Eastern,12,McLellan,,,St,4976,A,TRUE,FALSE,TRUE,2016-02-11 17:41:06 -0500
6353,Vineyard Food Pantry,715 Bridgton Rd,Westbrook,ME,Cumberland,Commercial,43.72899,-70.34047,Y,AABB,23005,S,1,Eastern,715,Bridgton,,,Rd,4092,B,TRUE,FALSE,TRUE,2016-03-01 17:03:22 -0500
11920,First Christian Church Food Pantry,123 N Main St,Medford,OK,Grant,Commercial,36.80744,-97.73503,Y,AABB,40053,S,3,Central,123,Main,N,,St,73759,A,TRUE,FALSE,TRUE,2016-02-13 10:01:08 -0500
12659,St Thomas Church Food Pantry,65 Fruit Hill Ave,Providence,RI,Providence,Commercial,41.8351,-71.46812,Y,AABB,44007,S,2,Eastern,65,Fruit Hill,,,Ave,2909,B,TRUE,FALSE,TRUE,2016-02-12 10:42:03 -0500
12662,St Peter\'s by the Sea,72 Central St,Narragansett,RI,Washington,Commercial,41.42883,-71.45982,Y,AABB,44009,S,2,Eastern,72,Central,,,St,2882,B,TRUE,FALSE,TRUE,2016-02-18 16:59:27 -0500
13022,Helping Hands Community Center,115 Harbert Dr,Savannah,TN,Hardin,Commercial,35.2208,-88.22577,Y,AABB,47071,S,7,Central,115,Harbert,,,Dr,38372,A,TRUE,FALSE,TRUE,2016-02-18 11:43:43 -0500
13041,Friendship Community Church,11853 Lebanon Rd,Mount Juliet,TN,Wilson,Commercial,36.23115,-86.52766,D,AAN1,47189,H,6,Central,11853,Lebanon,,,Rd,37122,B,TRUE,FALSE,TRUE,2016-02-17 13:01:51 -0500
14600,Catholic Charities of WV,827 Fairmont Rd Ste 203,Morgantown,WV,Monongalia,Commercial,39.63285,-79.98169,Y,AABB,54061,H,1,Eastern,827,Fairmont,,,Rd,26501,B,TRUE,FALSE,TRUE,2016-02-26 09:48:19 -0500
1072,Taking It To The Streets Soup Kitchen,749 Tate Ave,Memphis,TN,Shelby,Commercial,35.13033,-90.03593,Y,AABB,47157,S,9,Central,749,Tate,,,Ave,38126,B,TRUE,FALSE,FALSE,
4131,Faith Lutheran Food Pantry,856 W Eldredge Rd,Pocatello,ID,Bannock,Commercial,42.89502,-112.46837,Y,AABB,16005,S,2,Mountain,856,Eldredge,W,,Rd,83201,B,TRUE,FALSE,FALSE,
4132,God's Home of Compassion,845 Hyde Ave,Pocatello,ID,Bannock,Commercial,42.88898,-112.43672,Y,AABB,16005,S,2,Mountain,845,Hyde,,,Ave,83201,B,TRUE,FALSE,FALSE,
4139,St John's Cathedral,815 W Hays St,Boise,ID,Ada,Residential,43.62097,-116.19852,Y,AABB,16001,S,2,Mountain,815,Hays,W,,St,83702,B,TRUE,FALSE,FALSE,
4140,St Mark's Food Bank,7960 W Northview St,Boise,ID,Ada,Commercial,43.62747,-116.28002,Y,AABB,16001,S,2,Mountain,7960,Northview,W,,St,83704,B,TRUE,FALSE,FALSE,
4144,Heritage Bible,7071 W Emerald St,Boise,ID,Ada,Commercial,43.61193,-116.27009,Y,AABB,16001,S,2,Mountain,7071,Emerald,W,,St,83704,B,TRUE,FALSE,FALSE,
4146,Grace Chapel,8650 W Fairview Ave,Boise,ID,Ada,Commercial,43.61992,-116.28953,Y,AABB,16001,S,2,Mountain,8650,Fairview,W,,Ave,83704,B,TRUE,FALSE,FALSE,
4151,Community Support Center Advocates,716 N Orchard St,Boise,ID,Ada,Commercial,43.61106,-116.24336,Y,AABB,16001,S,2,Mountain,716,Orchard,N,,St,83706,B,TRUE,FALSE,FALSE,
4154,Calvary Chapel of Boise,123 S Auto Dr,Boise,ID,Ada,Commercial,43.60355,-116.27578,Y,AABB,16001,S,2,Mountain,123,Auto,S,,Dr,83709,A,TRUE,FALSE,FALSE,
4161,WICAP-Caldwell,114 E Simplot Blvd,Caldwell,ID,Canyon,Commercial,43.66962,-116.69735,Y,AABB,16027,S,1,Mountain,114,Simplot,E,,Blvd,83605,A,TRUE,FALSE,FALSE,
